club,country,league_code
Palmeiras,BRA,brazil-serie-a
Porto,POR,portugal-primeira-liga
Al Ahly,EGY,egypt-premier-league
Inter Miami CF,USA,mls
Paris Saint-Germain,FRA,france-ligue-1
Atlético Madrid,ESP,spain-la-liga
Botafogo,BRA,brazil-serie-a
Seattle Sounders FC,USA,mls
Bayern Munich,GER,germany-bundesliga
Auckland City,NZL,new-zealand-national-league
Boca Juniors,ARG,argentina-primera-division
Benfica,POR,portugal-primeira-liga
Flamengo,BRA,brazil-serie-a
Espérance de Tunis,TUN,tunisia-ligue-1
Chelsea,ENG,england-premier-league
Los Angeles FC,USA,mls
River Plate,ARG,argentina-primera-division
Urawa Red Diamonds,JPN,j1-league
Monterrey,MEX,liga-mx
Inter Milan,ITA,italy-serie-a
Fluminense,BRA,brazil-serie-a
Borussia Dortmund,GER,germany-bundesliga
Ulsan HD,KOR,k-league-1
Mamelodi Sundowns,RSA,south-africa-premier-division
Manchester City,ENG,england-premier-league
Wydad AC,MAR,botola-pro
Al Ain,UAE,uae-pro-league
Juventus,ITA,italy-serie-a
Real Madrid,ESP,spain-la-liga
Al-Hilal,KSA,saudi-pro-league
Pachuca,MEX,liga-mx
Red Bull Salzburg,AUT,austria-bundesliga
